Help!,बचाओ!
She is as beautiful as her mother.,वह अपनी माँ जैसी सुंदर है।
Smoking will do you a lot of harm.,धूम्रपान आपको हानि पहुँचाएगा।
Someday your dream will come true.,तुम्हारा सपना एक दिन सच हो जाएगा।
That bicycle is too small for you.,यह साईकल तुम्हारे लिए बहुत छोटी है।
The job must be finished by 3 p.m.,यह काम दोपहर तीन बजे से पहले खतम हो जाना चाहिए।
The mountain is covered with snow.,पहाड़ पर बर्फ़ बिछी हुई है।
The rain prevented me from coming.,मैं बारिश की वजह से आ नहीं पाया।
The road is parallel to the river.,वह सड़क नदी के साथ साथ चलती है।
There is a garden behind my house.,मेरे घर के पीछे एक बगीचा है।
There were two murders this month.,इस महीने दो क़त्ल हुए हैं।
There were two murders this month.,इस महीने दो हत्याएँ हुईं हैं।
They are willing to learn English.,वे अंग्रेज़ी सीखने को तैयार हैं।
We shared the profit among us all.,हमने मुनाफ़े को अपने बीच बाँटा।
We usually have breakfast at 7:30.,हम आमतौर पर साढ़े सात बजे नाश्ता खाते हैं।
What movies are playing this week?,इस सप्ताह कौन सी फ़िल्में लगीं हुईं हैं?
What time do you get up every day?,आप रोज़ कितने बजे उठते हैं?
What time do you get up every day?,तुम रोज़ कितने बजे उठते हो?
What time do you get up every day?,तुम रोज़ कितने बजे उठा करते हो?
What time will you have breakfast?,तुम नाश्ता कितने बजे लोगे?
Would you like another cup of tea?,आप एक और कप चाय पीना चाहेंगे क्या?
You had better not read this book.,तुम यह किताब न ही पढ़ो बेहतर होगा।
You must keep an eye on the child.,तुम्हे बच्चे पर नज़र रखनी पड़ेगी।
A police officer is talking to her.,एक पुलिस अफ़सर उससे बात कर रहा है।
An elephant is a very large animal.,हाथी एक बहुत बड़ा जानवर होता है।
Are you sure of her coming on time?,तुम्हे पक्का मालूम है कि वह समय पर आ रही है?
"As a matter of fact, I dislike him.",दरअसल मुझे वह पसंद नहीं है।
Bern is the capital of Switzerland.,बर्न स्विजरलैंड की राजधानी है।
Did you hear the news on the radio?,तुमने रेडियो पर खबर सुनी क्या?
Do you have these shoes in my size?,क्या ये जूते मेरे नाप में भी हैं?
Do you have these shoes in my size?,क्या ये जूते मेरे नाप में भी मिल सकते हैं?
Do you like to live in the country?,आप को गाँव में रहना पसंद है क्या?
Don't speak ill of your classmates.,अपने सहपाठियों की बुराई मत करो।
Every man should learn how to cook.,हर आदमी को खाना बनाना सीखना चाहिए।
Everybody wants to live in comfort.,सभी लोग आराम की ज़िन्दगी जीना चाहते हैं।
Few people will admit their faults.,बहुत कम लोग अपनी गलतियों को मानते हैं।
He did the reverse of what I asked.,उसने मेरे बताए हुए से उलटा काम किया।
He died without having made a will.,वह वसीयत बनाए बिना ही मर गया।
He doesn't live in my neighborhood.,वह मेरे आस-पड़ोस में नहीं रहता।
He had nothing to do with the case.,उसका इस केस के साथ कोई लेना-देना नहीं था।
He has no sense of right and wrong.,वह सही-ग़लत में अंतर करना नहीं जानता।
He has plenty of money in the bank.,उसके पास बैंक में बहुत पैसे हैं।
He left a large fortune to his son.,उसने अपने बेटे के लिए बड़ी जायदाद छोड़ी।
He ran faster than his brother did.,वह अपने भाई से तेज़ भागता था।
He rescued the child from the fire.,उसने बच्चे को आग से बचाया।
How do you like living on your own?,तुम्हे अकेले रहना अच्छा लगता है क्या?
How is it going in the fish market?,मछली बाज़ार में कैसा चल रहा है?
How long will it take to get there?,वहाँ पहुँचने में कितनी देर लगेगी?
How many books do you read a month?,तुम एक महीने में कितनी किताबें पढ़ते हो?
I am his friend and will remain so.,मैं उसका दोस्त हूँ और रहूँगा।
I am married and have two children.,मैं शादीशुदा हूँ और मेरे दो बच्चे हैं।
I cannot tolerate naughty children.,मैं नटखट बच्चों को बर्दाश्त नहीं कर सकता।
I don't know who wrote this letter.,मुझे नहीं पता कि यह चिट्ठी किसने लिखी है।
I don't think I can wait that long.,मैं उतनी देर रुक नहीं सकता।
I doubt the truth of his statement.,मुझे उसके बयान की सच्चाई पर शक है।
I fell down the stairs in my haste.,अपनी ही जल्दबाज़ी मे मैं सीढ़ियों से नीचे गिर गया।
I had my brother repair my bicycle.,मैंने अपने भाई से अपनी साईकल ठीक करवाई।
I had nothing to do with the group.,मेरा उस ग्रुप के साथ कोई संबंध नहीं था।
I haven't seen him for a long time.,मैंने उसे बहुत दिनों से नहीं देखा है।
I learned French instead of German.,मैंने जर्मन की बजाय फ़्रानसीसी सीखी ।
I ordered those books from Germany.,मैंने उन किताबों जो जर्मनी से खरीदकर मंगवाया था।
I want to know about this mountain.,मुझे इस पहाड़ के बारे में जानना है।
I wish to go to Paris to study art.,मैं पैरिस जाकर आर्ट पढ़ना चाहता हूँ।
I wish to go to Paris to study art.,मैं पैरिस जाकर आर्ट पढ़ना चाहती हूँ।
"If I don't do it now, I never will.",अगर मैं अभी नहीं करूँगा तो कभी नहीं करूँगा।
"If I had wings, I would fly to you.",अगर मेरे पास पंख होते तो मैं उड़कर तुम्हारे पास चला आता।
It has been fine since last Friday.,पिछले शनिवार से मौसम बहुत अच्छा है।
It seems that everybody likes golf.,ऐसा लगता है जैसे कि सभी लोगों को गौल्फ़ अच्छा लगता है।
It shouldn't take long to find Tom.,टॉम को ढूँढने में समय नहीं लगना चाहिए।
Learning a foreign language is fun.,विदेषी भाषा सीखना बहुत मज़ेदार होता है।
My sister is very fond of children.,मेरी बहन को बच्चों से बहुत प्यार है।
My wife has just cleared the table.,मेरी बीवी ने अभी-अभी मेज़ को साफ़ किया है।
She accused me of making a mistake.,उसने मुझपर ग़लती करने का इलज़ाम लगाया।
She asked me if I knew her address.,उसने मुझसे पूछा कि मैं उसका पता जानता था या नहीं।
She didn't want him to go overseas.,वह लड़की नहीं चाहती थी कि वह लड़का विदेश जाए।
She didn't want to speak to anyone.,उसे किसी से भी बात करने का मन नहीं था।
She felt insecure about her future.,उसको अपना आने वाला कल थोड़ा डाँवाडोल लगा।
She felt insecure about her future.,उसको अपना भविष्य असुरक्षित लगा।
She was very surprised at the news.,वह खबर सुनकर हैरान रह गई।
She went to the market once a week.,वह हफ़्ते में एक बार बाज़ार जाती थी।
She's in the garden planting roses.,"वह बगीचे में है, गुलाब के फूल लगा रही है।"
"Since he was tired, he went to bed.","वह थक गया था, तो सोने चला गया।"
"Since you're here, you can help me.",तुम यहाँ आ ही गए हो तो मेरी मदद कर सकते हो।
Take this medicine every six hours.,इस दवाई को हर छः घंटे लेना।
Teaching English is his profession.,अंग्रेज़ी पढ़ाना उसका पेशा है।
The animals in the forest died off.,जंगल के जानवर मर गए।
The baby fell asleep in the cradle.,बच्चा पालनी में सो गया।
The fat woman was holding a monkey.,उस मोटी औरत ने एक बंदर पकड़ा हुआ था।
The hole is about five feet across.,गड्ढा पाँच फ़ुट चौड़ा है।
The king was deprived of his power.,उस राजा से उसकी ताक़त छीन ली गई।
The lion is the king of the jungle.,शेर जंगल का राजा है।
The mystery still remains unsolved.,वह आज भी एक रहस्य है।
The storm destroyed the whole town.,तूफ़ान ने पूरे नगर को नष्ट कर दिया।
There is a strange man at the door.,दरवाज़े पर कोई अजीब सा इनसान है।
These questions are easy to answer.,इन सवालों का जवाब देना आसान है।
These questions are easy to answer.,ये प्रश्न सरल हैं।
"This is a good newspaper, isn't it?",यह एक अच्छा अखबार है ना?
"To make matters worse, he fell ill.",और-तो-और वह बीमार भी पड़ गया।
"Tomorrow, he will land on the moon.",कल वह चाँद पर उतरेगा।
We are all eager to know the truth.,हम सब सच जानने के लिए बेचैन हैं।
What do you think she is doing now?,तुम्हारे हिसाब से वह अभी क्या कर रही होगी?
Where should I pick the tickets up?,मुझे टिकटें कहाँ से लेनीं होंगीं?
Would you mind my opening the door?,क्या मैं दरवाज़ा खोल सकता हूँ?
You can have this book for nothing.,तुम यह किताब मुफ़्त में ले सकते हो।
You can't buy that kind of loyalty.,ऐसी वफ़ादारी खरीदी नहीं जा सकती।
You must take his age into account.,तुम्हे उसकी उम्र का भी लिहाज करना चाहिए।
You should make use of this chance.,तुम्हे इस मौके का फ़ायदा उठाना चाहिए।
You shouldn't leave the baby alone.,तुम्हे बच्चे को अकेला नहीं छोड़ना चाहिए।
A hundred years is called a century.,सौ सालों को एक शतक बुलाया जाता है।
"According to him, she is not coming.",उसके हिसाब से वह नहीं आ रही।
"All of a sudden, she began to laugh.",वह अचानक से हँस पड़ी।
All of my kids want to learn French.,मेरे सभी बच्चें फ़्रेंच सीखना चाहते हैं।
Are you reading an interesting book?,आप कोई दिलचस्प किताब पढ़ रहें हैं क्या?
Are you reading an interesting book?,तुम कोई दिलचस्प किताब पढ़ रहे हो क्या?
Are you reading an interesting book?,तुम कोई दिलचस्प किताब पढ़ रही हो क्या?
Are you saying my life is in danger?,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?
Can I extend my stay one more night?,मैं एक रात और रह सकता हूँ क्या?
Don't talk about it in front of him.,उसके सामने इसके बारे में बात मत करो।
Everyone in my family gets up early.,मेरे परिवार में हर कोई जल्दी उठता है।
"Excuse me, is there a toilet nearby?","सुनिए, आस-पास में कोई टॉयलेट है क्या?"
Few students use pencils these days.,आजकल बहुत कम विद्यार्थी पेनसिल इस्तेमाल करतें हैं।
God helps those who help themselves.,ईश्वर उनकी मदद करता है जो स्वयं की मदद करते हैं।
He can both speak and write Russian.,वह रूसी बोलना और लिखना दोनो जानता है।
He couldn't understand the sentence.,उसको वाक्य समझ में नहीं आया।
He made up his mind to study abroad.,उसने विदेश में पढ़ने का निर्णय लिया।
He seemed surprised by my ignorance.,उसने मेरे अज्ञान पर आशंका जताई।
He stuck the broken pieces together.,उसने टूटे हुए टुकड़ों को वापस जोड़ा।
He will get better little by little.,वह धीरे-धीरे ठीक हो जाएगा।
Her advice to me was to work harder.,उसकी मेरे लिए सलाह यह थी कि मैं ज़्यादा मन लगाकर काम करूँ।
Her way of talking got on my nerves.,उसके बात करने के तरीके पर मुझे खींज आती है।
"Hurry, and you will catch the train.",जल्दी करो तो ट्रेन पकड़ सकते हो।
I am a student at Oxford University.,मैं ऑक्सफ़र्ड विश्वविद्यालय में विद्यार्थी हूँ।
I am really pleased with my new car.,मैं अपनी नई गाड़ी से बहुत खुश हूँ।
I buried my dog at the pet cemetery.,मैंने अपने कुत्ते को पालतू जानवरों के कब्रिस्तान में बरी कर दिया।
I never dreamed that you would lose.,मैंने सपने में भी नहीं सोचा था कि तुम हार जाओगे।
I visit my grandmother twice a week.,मैं अपनी नानी से हफ़्ते में दो बार मिलने जाता हूँ।
I visit my grandmother twice a week.,मैं अपनी दादी से हफ़्ते में दो बार मिलने जाता हूँ।
I was in bed all day long yesterday.,कल मैं पूरे दिन बिस्तर में था।
I will come back to Canada tomorrow.,मैं कल कनाडा वापस आऊँगा।
I've studied English for five years.,मैंने पाँच साल के लिए अंग्रेज़ी पढ़ी है।
Keep an eye on the baby for a while.,बच्चे पर ध्यान रखना थोड़ी देर के लिए।
My birthday is one month from today.,मेरा जन्मदिन आज से एक महीने में है।
My father usually comes home at six.,मेरे पापा आमतौर पर छः बजे घर लौटकर आते हैं।
No one believes that he is innocent.,किसी को भी उसके निर्दोष होने का यकीन नहीं है।
Opinions vary from person to person.,हर इनसान की राय अलग होती है।
Opinions vary from person to person.,हर इनसान की सोच अलग होती है।
She always complains of her teacher.,वह हमेशा अपनी टीचर की शिक़ायत करती है।
She believes her son is still alive.,उसको लगता है कि उसका बेटा अभी भी ज़िंदा है।
She talks as if she knew everything.,वह तो ऐसे बात करती है जैसे उसे सब कुछ पता हो।
"Some like tea, others prefer coffee.","कुछ लोगों को चाय अच्छी लगती है, और कुछ लोगों को कॉफ़ी।"
Stars cannot be seen in the daytime.,सितारे दिन में नहीं दिखते |
Tell me the name of the ninth month.,मुझे नौवे महीने का नाम बताओ।
The children were well looked after.,बच्चों की देखभाल अच्छी तरह से की जाती थी।
The law says that all men are equal.,क़ानून के मुताबिक सभी मनुष्य समान हैं।
The plan has been successful so far.,प्लान अब तक कामयाब रहा है।
The plane will take off in one hour.,विमान एक घंटे में उड़ान भरेगा।
The wind scattered the leaves about.,हवा ने पत्तियों को यहाँ-वहाँ बिखेर दिया।
There are many old temples in Kyoto.,क्योटो में बहुत सारे पुराने मंदिर हैं।
This hat does match the brown dress.,यह टोपी उस ब्राऊन ड्रेस के साथ जचती नहीं है।
We are in agreement on this subject.,हम इस विषय पर सहमत हैं।
We managed to swim across the river.,हम नदी को तैरकर पार कर पाए।
We talked to each other for a while.,हमने थोड़ी देर के लिए एक-दूसरे के साथ बात करी।
What are you going to do in college?,तुम कॉलेज जाकर क्या करोगे?
What do you usually do after dinner?,तुम आमतौर पर रात में खाना खाने के बाद क्या करते हो?
What was the weather like yesterday?,कल का मौसम कैसा था?
Which shoes are you going to put on?,तुम कौनसे जूते पहनोगी?
Won't you come and see me next week?,मुझे अगले हफ़्ते देखने आओगे ना?
"Would you speak more slowly, please?",आप थोड़ा धीरे बोल सकते हैं क्या?
You are doing very well. Keep it up.,तुम अच्छा काम कर रहे हो। ऐसे ही करते रहो।
You've never seen a genuine diamond.,तुमने असली हीरा कभी देखा ही नहीं है।
A thick mist covered the countryside.,गाँव पर गहरा कोहरा छा गया।
Are there enough chairs to go around?,कुरसियाँ काफ़ी हैं क्या?
At times I feel like quitting my job.,मुझे कभी-कभी अपनी नौकरी छोड़ देने का मन करता है।
Buddhism had its beginnings in India.,बौद्ध धर्म भारत में पैदा हुआ था।
Butter and cheese are made from milk.,मक्खन और पनीर दूध से बनते हैं।
Classical music is not my cup of tea.,मुझे शास्त्रीय संगीत सुनने का शौक नहीं है।
Could you bring me another hot towel?,मेरे लिए एक और गरम तौलिया ला सकते हैं क्या?
Do you feel any pain in your stomach?,क्या आपको पेट में दर्द महसूस हो रहा है?
He is less impatient than his father.,उसमें उसके पिता जितनी बेसब्री नहीं थी।
He lost no time answering the letter.,उसने फटाफट चिट्ठी का जवाब दिया।
He put a hand gently on her shoulder.,उसने हल्के से उसके कंधे पर हाथ रखा।
He said he would see me the next day.,उसने कहा था कि वह मुझसे अगले दिन मिलेगा।
He was standing at the street corner.,वह सड़क के किनारे पर खड़ा था।
He will be a doctor when he grows up.,वह बड़ा होकर डॉक्टर बनना चाहता है।
He wiped the sweat from his forehead.,उसने अपने माथे से पसीना पोंछा।
His dog follows him wherever he goes.,"वह जहाँ भी जाता है, उसका कुत्ता उसके पीछे पीछे जाता है।"
I am doing business on a large scale.,मैं बड़े पैमाने पर व्यापार कर रहा हूँ।
I had met her many times before then.,मैं उससे पहले कई बार मिल चुका था।
I had met him many times before then.,मैं उससे पहले कई बार मिल चुका था।
I have nothing to say on this matter.,मुझे इस विषय पर कुछ नहीं कहना है।
I helped my father water the flowers.,मैंने अपने पापा को फूलों को पानी डालने में मदद करी थी।
I took the opportunity to visit Rome.,मैंने रोम जाने के मौका का फ़ायदा उठाया।
I was amazed at the speed of the car.,मैं उस गाड़ी की रफ़तार देखकर हैरान रह गया।
I was scared that you might leave me.,मुझे डर था कि तुम मुझे छोड़ दोगे।
I went to Europe by way of Anchorage.,आंकरेज होते हुए मैं युरोप गया।
I'm satisfied with my current income.,मैं अपनी कमाई से संतुष्ट हूँ।
I'm satisfied with my current income.,मैं अपनी वर्तमान आमदनी से संतुष्ट हूँ।
"I'm sorry, but I can't hear you well.","माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रहा हूँ।"
"I'm sorry, but I can't hear you well.","माफ़ कीजिएगा, पर मैं आपको ठीक से सुन नहीं पा रही हूँ।"
I've got one brother and two sisters.,मेरा एक भाई और दो बहनें हैं।
Imagine that you have a time machine.,सोचो कि तुम्हारे पास एक टाइम मशीन है।
"In those days, I went to bed earlier.",उन दिनों में मैं (रात में) जल्दी से सो जाया करता था।
She complained to me of his rudeness.,उसने मुझसे उसकी असभ्यता के बारे में शिक़ायत करी।
She was only pretending to be asleep.,वह सोना का बहाना कर रही थी।
She went to Paris for the first time.,वह पहली बार पैरिस गई थी।
That's too small to fit on your head.,वह तुम्हारे सर के लिए बहुत छोटा है।
There's been a lot of rain this year.,इस साल बहुत बारिश पड़ी है।
They dug here and there for treasure.,उन्होंने ख़ज़ाना ढूँढने के लिए यहाँ-वहाँ खोदा।
Turn left and you will find the cafe.,बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।
We are all anxious about your health.,हम सब तुम्हारे स्वास्थ्य के लिए बहुत चिंतित हैं।
We are all anxious about your health.,हम सब तुम्हारी सेहत के लिए बहुत परेशान हैं।
We are to meet in front of his house.,हम उसके घर के सामने मिलेंगे।
What put such an idea into your head?,तुम्हारे दिमाग़ में यह बात कैसे आई?
Who are you going to eat dinner with?,डिनर किसके साथ करोगे?
You can see the whole city from here.,तुम यहाँ से पूरा शहर देख सकते हो।
You should have attended the meeting.,तुम्हे मीटिंग में आना चाहिए था।
Your daughter is not a child anymore.,तुम्हारी बेटी अब बच्ची नहीं है।
A good idea occurred to me last night.,मुझे कल सोते समय दिमाग़ में एक अच्छा आयडिया आया।
"At last, the truth became known to us.",आखिरकार हमे सच्चाई का पता चल गया।
He asked me if I could do him a favor.,उसने मुझसे एक एहसान माँगा।
He can imitate the rest of the family.,वह अपने सारे घरवालों की नकल उतार सकता है।
He earns more money than he can spend.,वह ज़रूरत से ज़्यादा पैसे कमाता है।
He exhibited no remorse for his crime.,उसको उसके जुर्म पर बिलकुल भी पछतावा नहीं था।
He gave his children a good education.,उसने अपने बच्चों को अच्छी शिक्षा दी।
How many cars has that company bought?,कम्पनी ने कितनी गाड़ियाँ ख़रीदीं हैं?
How many people are on board the ship?,जहाज़ में कितने लोग हैं?
I always got up early in my childhood.,जब मैं छोटा था मैं हमेशा जल्दी सोकर उठा करता था।
I am well acquainted with the subject.,मैं इस विषय से परिचित हूँ।
I don't want to buy this kind of sofa.,मुझे इस तरह का सोफ़ा नहीं खरीदना है।
I doubt the veracity of his statement.,मुझे उसके बयान की सच्चाई पर शक़ है।
I had never seen her before that time.,मैंने उसे पहले कभी नहीं देखा था।
I know a girl who can ride a unicycle.,मेरे जान-पहचान की एक लड़की को युनिसायकल चलाना आता है।
I regret not having bought that house.,मुझे उस घर को न खरीदने का पछतावा हो रहा है।
I'll be staying here for three months.,मैं यहाँ तीन महीनों के लिए रहूँगा।
I've taught myself to play the guitar.,मैंने खुद से गिटार बजाना सीख लिया है।
It is necessary that you see a doctor.,तुम्हारे लिए डॉक्टर को देखने जाना ज़रूरी है।
It's been ten years since we last met.,हमारी पिछली मुलाक़ात से अब दस साल हो गए हैं।
Leave your umbrella at the front door.,अपने छाते को सामने वाले द्वार छोड़ दो।
Look up the phrase in your dictionary.,शब्दकोश में उस वाक्यांश को ढूँढो।
Mary was looking for you at that time.,मेरी उस समय तुम्हें ढूँढ रही थी।
Mom scolded me for making fun of them.,माँ ने मेरे उनका मज़ाक उड़ाने के लिए डाँट लगाई।
My mother put clean sheets on the bed.,मेरी माँ ने बिस्तर पर साफ़ चादर बिछाई।
My sister always keeps her room clean.,मेरी बहन अपने कमरे को हमेशा साफ़-सुथरा रखती है।
My uncle is an amateur cricket player.,मेरे मामा क्रिकेट के शौकिया खिलाड़ी हैं।
My uncle is an amateur cricket player.,मेरे चाचा क्रिकेट के शौकिया खिलाड़ी हैं।
My uncle is an amateur cricket player.,मेरे ताऊजी क्रिकेट के शौकिया खिलाड़ी हैं।
She passed away peacefully last night.,वह कल रात आराम से चल बसीं।
She told me that she wanted a pet dog.,उसने मुझसे कहा कि उसे कुत्ता पालने का मन था।
She was brought up by her grandmother.,उसकी नानी ने उसे पाल-पोस कर बड़ा किया था।
She was watching the dead leaves fall.,वह मुर्झाई हुई पत्तियों को गिरते हुए देख रही थी।
She will become a doctor in two years.,वह दो सालों में डॉक्टर बन जाएगी।
"Strange as it may sound, this is true.","चाहे सुनने में जितना भी अजीब लगे, यह सच है।"
Taste this wine to see if you like it.,यह वाईन चखकर देखो तुम्हें अच्छी लगती है कि नहीं।
The dog followed him wherever he went.,"वह जहाँ भी जाए, वह कुत्ता उसके पीछे-पीछे जाता था।"
The food was not fit for man or beast.,वह खाना न तो आदमी न जानवर को खिलाने लायक था।
The train is ten minutes behind today.,आज ट्रेन दस मिनट लेट है।
There is no longer any room for doubt.,शक की कोई गुंजाईश नहीं रही है।
There's no use trying to persuade him.,उसको मनाने की कोशिश करने में कोई फ़ायदा नहीं है।
They were scattered in all directions.,वे सारी दिशाओं में फैले हुए थे।
This cloth is really smooth and silky.,यह कपड़ा बहुत रेशमी है।
This machine is driven by electricity.,यह मशीन बिजली से चलती है।
This medicine will clear up your cold.,यह दवाई तुम्हारा गला साफ़ कर देगी।
This medicine will take the pain away.,यह दवाई दर्द को दूर कर देगी।
Two boys came running out of the room.,दो लड़के कमरे से भागे निकल आए।
We have two unused rooms in our house.,हमारे पास घर में दो कमरे हैं जिनका हम इस्तेमाल नहीं कर रहे हैं।
"We ordered pink, but we received blue.",हमने पिंक रंग वाले का ऑर्डर किया था पर हमे नीले रंग वाला मिला।
"We tried it again, but couldn't do it.","हमने फिरसे करने की कोशीश की, पर नहीं कर पाए।"
Where's the remote control for the TV?,टीवी का रिमोट कहाँ है?
You are wearing your shirt inside out.,तुमने अपनी कमीज़ उलटी पहनी हुई है।
You are wearing your shirt inside out.,तुमने अपनी टी-शर्ट उलटी पहनी हुई है।
"Where do you live? ""I live in Tokyo.""","आप कहाँ रहते हैं? ""मैं टोक्यो में रहता हूँ"""
Father sometimes took me to his office.,पापा कभी-कभी मुझे दफ़्तर ले जाया करते थे।
He could not sleep because of the heat.,वह गर्मी की वजह से सो नहीं पाया।
He embezzled the money from his office.,उसने अपने दफ़तर के पैसों को गबन किया।
"He had nothing to say, so he went away.","उसके पास कुछ भी कहने को नहीं था, तो वह चला गया।"
He sold his own car without hesitation.,उसने अपनी गाड़ी बिना हिचकिचाहट हे बेच दी।
He used to tell me stories about India.,वह मुझे भारत के बारे में कहानियाँ सुनाया करता था।
Her mother was busy cooking the dinner.,उसकी माँ खाना बनाने में लगी हुई थी।
How soon can you have this dress ready?,इस ड्रेस को कितनी जल्दी तैयार कर सकते हो?
I am fully convinced of your innocence.,मुझे तुम्हारे बेगुनाह होने पर पूरा यकीन है।
I am interested in American literature.,मुझे अम्रीकी साहित्य में दिलचस्पी है।
I am much obliged to you for your help.,मैं आपकी मदद के लिए बहुत आभारी हूँ।
I began to sing when I was a youngster.,मैंने छोटी उम्र से ही गाना गाना शुरू कर दिया था।
I can't put up with this noise anymore.,मैं इस शोर को और बर्दाश्त नहीं कर सकती।
I found nothing but a pair of scissors.,मुझे कैंचियों के अलावा और कुछ नहीं मिला।
I know that all of this is just a game.,मैं जानता हूँ कि यह सब एक खेल है।
I met her in London for the first time.,मेरी उसके साथ पहली मुलाकात लंदन में हुई थी।
"I will ask him about it tomorrow, then.",फिर मैं उससे उसके बारे में कल पूछूँगा।
I will pay my debt as soon as possible.,मैं अपना कर्ज़ जल्द-से-जल्द चुकताऊँगा।
I'd like to see him tomorrow afternoon.,मैं उससे कल दोपहर को मिलना चाहता हूँ।
I'll be in Tokyo on business next week.,मैं अगले हफ़्ते टोक्यो में हूँगा काम पर।
"If you have time, please drop in on us.",अगर आपके पास समय हो तो हमसे मिलने आईएगा।
It will go away by itself in two weeks.,वह दो हफ़्तों में अपने-आप चला जाएगा।
Mother bought a beautiful doll for her.,माँ ने उसके लिए एक सुन्दर सी गुड़िया खरीदी।
My father consented to my going abroad.,मेरे पिता मेरे विदेश जाने से राज़ी थे।
My mother often suffers from headaches.,मेरी माँ को अक्सर सिरदर्द होता है।
Please come again two weeks from today.,आज से दो हफ़्तों के बाद फिरसे आईएगा।
She is living in some village in India.,वह भारत के किसी गाँव में रह रही है।
She reminds me very much of her mother.,वह मुझे उसकी माँ की याद दिलाती है।
"She said to herself, ""I am very happy.""","उसने अपने आप से कहा: ""मैं बहुत खुश हूँ"""
The gentleman is a very famous pianist.,यह महाशय बहुत जाने-माने पियानिस्ट हैं।
The lights have been burning all night.,बत्तियाँ पूरी रात से जल रहीं हैं।
The rumor proved to be an absolute lie.,वह अफ़वाह एकदम झूठी निकली।
The scar on his cheek hardly shows now.,उसकी गाल पर जो चोट का निशान है वह अब बहुत हल्का हो गया है।
The two languages have a lot in common.,इन दो भाषाओं में बहुत सारी समानताएं हैं।
The work must be completed by tomorrow.,काम कल तक खतम होना होगा।
What languages do they speak in Canada?,कनाडा में कौनसी भाषाएं बोली जाती हैं?
Who doesn't know such a simple proverb?,इस तरह की आम कहावत को कौन नहीं जानता?
Would you mind turning down the volume?,आवाज़ थोड़ी धीमी कर सकते हो क्या?
You must observe the rules of the club.,तुम्हे क्लब के नियमों का पालन करना होगा।
You've got a nerve to say such a thing!,तुम्हारी जुर्रत कैसे हुई यह बोलने की?!
Your examination results are excellent.,तुम्हारे इगज़ैम के रिज़ल्ट बहुत अच्छे हैं।
All you have to do is follow his advice.,तुम्हे बस उसकी सलाह के मुताबिक काम करना होगा।
Cows are sacred to many people in India.,भारत में कई लोग गाय को पूज्य मानते हैं।
He had to go through a lot of hardships.,उसे बहुत सारे कष्ट सहने पड़े थे।
He had to reduce the price of his wares.,उसे अपने सामान की कीमतें कम करनीं पड़ीं।
He has invited me to attend his wedding.,उसने मुझे अपनी शादी में आने का का न्योता दिया है।
He is always complaining about his boss.,वह हमेशा अपने बॉस की शिकायत करता रहता है।
He was destined never to meet her again.,उसके नसीब में उससे फिरसे मिलना नहीं लिखा हुआ था।
He was happy at the news of her success.,वह उसकी कामयाबी की खबर सुनकर खुश था।
How about adding a little bit more salt?,थोड़ा और नमक डाल दोगे?
How did you get tickets for the concert?,तुम्हें कॉनसर्ट की टिकटें कैसे मिलीं?
I am confident he will keep his promise.,मुझे भरोसा है कि वह अपना वादा निभाएगा।
I am not sure how to pronounce the word.,मुझे ठीक से नहीं पता इस शब्द को कैसे पढ़ा जाता है।
I cannot stand his arrogance any longer.,मैं उसके अक्खड़पन अब और बर्दाश्त नहीं कर सकता।
I don't know if I'll have time to do it.,मुझे नहीं पता मेरे पास यह करने के लिए समय होगा कि नहीं।
I have been writing letters all morning.,मैं पूरी सुबह से चिट्ठियाँ लिख रहा हूँ।
I have been writing letters all morning.,मैं पूरी सुबह से चिट्ठियाँ लिख रही हूँ।
I have seen angels and talked with them.,"मैंने फ़रिश्तों को देखा है, उनसे बातचीत भी की है।"
I wish I had more time to talk with you.,काश मेरे पास और समय होता तुम्हारे साथ बात करने के लिए।
I would rather stay at home than go out.,मुझे बाहर जाने से घर में रहना पसंद है।
I'll give you an answer in a day or two.,मैं तुम्हें एक-दो दिन में जवाब दूँगा।
I'm not ashamed of my father being poor.,मुझे अपने पिता की ग़रीबी पर शर्म नहीं आती है।
"I've never met her, but I recognize her.",मैं उसे पहचानता हूँ पर मैं उससे कभी मिला नहीं हूँ।
"I've never met him, but I recognize him.",मैं उसे पहचानता हूँ पर मैं उससे कभी मिला नहीं हूँ।
